UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
B472DEED2CCF5300B360A87DD237303B,C**** S****S****,CSS010101**0,I****,IZA010101**2,,03/08/2023,3306,PPD,No definido,MXN
B34265502F344510A7E7BA7958172079,C**** S****S****,CSS010101**0,B**** N****D****,BNM010101**1,,02/08/2023,568.4,PUE,No definido,MXN
B2FB8130E41B4CD4B319A7064E223FEA,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,18/04/2023,3111.6,PUE,No definido,MXN
B2CA091BEDBF43A8B6895B4D6B7904F3,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,15/03/2023,29000.23,PUE,No definido,MXN
B215D52835D04106BED458C43983B301,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,30/08/2023,20402.71,PUE,No definido,MXN
B2074CEC843A419A82A4A8B1BB74F5C9,C**** S****S****,CSS010101**0,F**** A****M****,AUM010101**0,,28/10/2023,34694.42,PUE,31/10/2023,MXN
B18E2BF3EBE94F6EA65A9879FCD0E6C3,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,14/04/2023,83389.5,PUE,No definido,MXN
B0DBB5CE16884931B5A5A179A0D34F7E,V**** H****M****,MOM010101**4,C**** S****S****,CSS010101**0,,21/02/2023,2825.79,PUE,No definido,MXN
B0792A06732D4186811228669EF4EFA5,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,31/01/2023,267726.9,PUE,No definido,MXN
B03C4FCB4B96458CAFEE051B5A842884,C**** S****S****,CSS010101**0,R**** K****E****,EAS010101**3,,06/06/2023,516.37,PUE,No definido,MXN
B0042C62388247FEBB844D8C5913A6AB,S**** B****F****,SBF010101**0,S****,STE010101**8,,04/07/2023,5800,PPD,No definido,MXN
AF2CBBEB2C54414AA4F5019CAEE463C5,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,15/07/2023,3111.6,PUE,No definido,MXN
AD23B4DCE90A4E748185A6F4565DD3A8,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,,05/04/2023,5620.07,PUE,No definido,MXN
ACD290EE6CDB49C9A5BA99964272B9C2,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,31/08/2023,3111.6,PUE,No definido,MXN
AB653E20DC2B4271AD1969A0B23A8F9E,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,06/11/2023,5416.81,PUE,30/11/2023,MXN
AAB5B775CE4945E6AF63B414BE436286,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,01/02/2023,5133.3,PUE,No definido,MXN
A9D70D1366EA41B4886CDD10EE4F1234,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,14/04/2023,39934.29,PUE,No definido,MXN
A938D2D12D8C467EBBFB3C65F7DECEFB,C**** S****S****,CSS010101**0,H**** A****Y****,HAA010101**1,,16/10/2023,11241.4,PPD,No definido,MXN
A8B0E7A0709E43859FD794111421BD1E,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/06/2023,24708,PUE,No definido,MXN
A817036582BC48BAB1A57AF7DD0A6266,A**** I****E****,EOR010101**1,C**** S****S****,CSS010101**0,,06/11/2023,3111.6,PUE,30/11/2023,MXN
A729AF68A2474A63B811694E3A03AB81,S**** B****F****,SBF010101**0,B**** S****M****,BSM010101**8,,29/04/2023,810.84,PUE,No definido,MXN
